id,spkid,full_name,pdes,name,prefix
c00003_0,1000504,"    3D/Biela",3D,Biela,D
c00004_0,1000026,"    4P/Faye",4P,Faye,P
c00005_0,1000505,"    5D/Brorsen",5D,Brorsen,D
c00006_0,1000017,"    6P/d'Arrest",6P,d'Arrest,P
c00007_0,1000069,"    7P/Pons-Winnecke",7P,Pons-Winnecke,P
c00009_0,1000093,"    9P/Tempel 1",9P,Tempel,P
c00010_0,1000094,"   10P/Tempel 2",10P,Tempel,P
c00011_0,1000368,"   11P/Tempel-Swift-LINEAR",11P,Tempel-Swift-LINEAR,P
c00014_0,1000110,"   14P/Wolf",14P,Wolf,P
c00015_0,1000027,"   15P/Finlay",15P,Finlay,P
c00016_0,1000008,"   16P/Brooks 2",16P,Brooks,P
c00017_0,1000044,"   17P/Holmes",17P,Holmes,P
c00018_0,1000144,"   18D/Perrine-Mrkos",18D,Perrine-Mrkos,D
c00019_0,1000005,"   19P/Borrelly",19P,Borrelly,P
c00021_0,1000032,"   21P/Giacobini-Zinner",21P,Giacobini-Zinner,P
c00022_0,1000054,"   22P/Kopff",22P,Kopff,P
c00024_0,1000077,"   24P/Schaumasse",24P,Schaumasse,P
c00025_0,1000064,"   25D/Neujmin 2",25D,Neujmin,D
c00026_0,1000034,"   26P/Grigg-Skjellerup",26P,Grigg-Skjellerup,P
c00028_0,1000063,"   28P/Neujmin 1",28P,Neujmin,P
c00029_0,1000079,"   29P/Schwassmann-Wachmann 1",29P,Schwassmann-Wachmann,P
c00030_0,1000070,"   30P/Reinmuth 1",30P,Reinmuth,P
c00031_0,1000080,"   31P/Schwassmann-Wachmann 2",31P,Schwassmann-Wachmann,P
c00032_0,1000015,"   32P/Comas Sola",32P,"Comas Sola",P
c00033_0,1000018,"   33P/Daniel",33P,Daniel,P
c00034_0,1000284,"   34D/Gale",34D,Gale,D
c00036_0,1000105,"   36P/Whipple",36P,Whipple,P
c00037_0,1000028,"   37P/Forbes",37P,Forbes,P
c00040_0,1000101,"   40P/Vaisala 1",40P,Vaisala,P
c00041_0,1000100,"   41P/Tuttle-Giacobini-Kresak",41P,Tuttle-Giacobini-Kresak,P
c00042_0,1000065,"   42P/Neujmin 3",42P,Neujmin,P
c00043_0,1000111,"   43P/Wolf-Harrington",43P,Wolf-Harrington,P
c00044_0,1000071,"   44P/Reinmuth 2",44P,Reinmuth,P
c00045_0,1000045,"   45P/Honda-Mrkos-Pajdusakova",45P,Honda-Mrkos-Pajdusakova,P
c00046_0,1000109,"   46P/Wirtanen",46P,Wirtanen,P
c00047_0,1000003,"   47P/Ashbrook-Jackson",47P,Ashbrook-Jackson,P
c00048_0,1000049,"   48P/Johnson",48P,Johnson,P
c00049_0,1000002,"   49P/Arend-Rigaux",49P,Arend-Rigaux,P
c00050_0,1000001,"   50P/Arend",50P,Arend,P
c00051_0,1000038,"   51P/Harrington",51P,Harrington,P
c00051_a,1000363,"   51P/Harrington-A",51P-A,Harrington,P
c00051_d,1003396,"   51P/Harrington-D",51P-D,Harrington,P
c00052_0,1000039,"   52P/Harrington-Abell",52P,Harrington-Abell,P
c00053_0,1000102,"   53P/Van Biesbroeck",53P,"Van Biesbroeck",P
c00054_0,1000414,"   54P/de Vico-Swift-NEAT",54P,"de Vico-Swift-NEAT",P
c00056_0,1000087,"   56P/Slaughter-Burnham",56P,Slaughter-Burnham,P
c00057_0,1000023,"   57P/duToit-Neujmin-Delporte",57P,duToit-Neujmin-Delporte,P
c00057_a,1000397,"   57P/duToit-Neujmin-Delporte-A",57P-A,duToit-Neujmin-Delporte,P
c00058_0,1000048,"   58P/Jackson-Neujmin",58P,Jackson-Neujmin,P
